Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
parma-silk-dress,Parma Silk Dress,<p></p>,Homeboy Threads,,Dresses,"private, designer-donated",TRUE,Color,Golden Hour,Size,L,,,1308597GDU00L,453,shopify,1,deny,manual,131.20,328.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/374DF3B2-9D00-42C6-B39C-F7D9CB762827.jpg?v=1762977379,1,Parma Silk Dress,FALSE,Parma Silk Dress | Homeboy Threads Resale | Homeboy Threads,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/374DF3B2-9D00-42C6-B39C-F7D9CB762827.jpg?v=1762977379,g,,,active
parma-silk-dress,,,,,,,,Color,Golden Hour,Size,M,,,1308597GDU00M,453,shopify,1,deny,manual,131.20,328.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/374DF3B2-9D00-42C6-B39C-F7D9CB762827.jpg?v=1762977379,g,,,
parma-silk-dress,,,,,,,,Color,Golden Hour,Size,S,,,1308597GDU00S,453,shopify,1,deny,manual,131.20,328.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/374DF3B2-9D00-42C6-B39C-F7D9CB762827.jpg?v=1762977379,g,,,
parma-silk-dress,,,,,,,,Color,Golden Hour,Size,XL,,,1308597GDU0XL,453,shopify,1,deny,manual,131.20,328.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/374DF3B2-9D00-42C6-B39C-F7D9CB762827.jpg?v=1762977379,g,,,
parma-silk-dress,,,,,,,,Color,Golden Hour,Size,XS,,,1308597GDU0XS,453,shopify,1,deny,manual,131.20,328.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/374DF3B2-9D00-42C6-B39C-F7D9CB762827.jpg?v=1762977379,g,,,
parma-silk-dress,,,,,,,,Color,Popsicle Stripe,Size,M,,,1308597PSI00M,453,shopify,1,deny,manual,131.20,328.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/74461ED2-98AF-49D2-8625-5F5489922332.png?v=1762977491,g,,,
parma-silk-dress,,,,,,,,Color,Popsicle Stripe,Size,XL,,,1308597PSI0XL,453,shopify,1,deny,manual,131.20,328.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/74461ED2-98AF-49D2-8625-5F5489922332.png?v=1762977491,g,,,
parma-silk-dress,,,,,,,,Color,Popsicle Stripe,Size,XS,,,1308597PSI0XS,453,shopify,1,deny,manual,131.20,328.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/74461ED2-98AF-49D2-8625-5F5489922332.png?v=1762977491,g,,,
parma-silk-dress,,,,,,,,Color,Stone Rose,Size,L,,,1308597SRE00L,453,shopify,1,deny,manual,131.20,328.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/116E2D27-9665-4EB1-BC51-DA0848F0830C.png?v=1762977592,g,,,
parma-silk-dress,,,,,,,,Color,Stone Rose,Size,S,,,1308597SRE00S,453,shopify,1,deny,manual,131.20,328.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/116E2D27-9665-4EB1-BC51-DA0848F0830C.png?v=1762977592,g,,,
